Date,S,I,R,D,beta,gamma,delta,C_e,D_e
3/12/2020,1399919883.5554879,846.7666058605911,76170.31150622855,3647.3663998506586,0.12553626599454035,0.14580772677622791,0.03489602571718311,80932,3172
3/13/2020,1399919778.8762422,805.081855796035,76288.83396293326,3675.2079388402913,0.12876570214988284,0.14253102101420267,0.032833735458492976,80945,3180
3/14/2020,1399919676.1908286,772.1248492834532,76399.53758256997,3700.146739366788,0.1320442257920936,0.1392662172964331,0.030691418081276206,80977,3193
3/15/2020,1399919574.5508735,746.9371138653614,76503.9478371333,3722.564175299005,0.13538207794083587,0.1360197068973284,0.02849417622017584,81003,3203
3/16/2020,1399919473.0857744,728.8063085442288,76603.32895502386,3742.778961817953,0.13878966611343616,0.1328024217784166,0.026270869618789078,81033,3217
3/17/2020,1399919371.0026994,717.2662237824753,76698.68392104821,3761.0471554168,0.14227951770393407,0.12963028712836738,0.024055271193703164,81058,3230
3/18/2020,1399919267.586588,712.0967815024735,76790.754476419,3777.56215390087,0.14586558733832153,0.12652426234435302,0.021887014364658917,81102,3241
3/19/2020,1399919162.191033,713.3174627827307,76880.03333496208,3792.4581690413747,0.1495625803975556,0.12351166770361066,0.01981343593918017,81156,3249
3/20/2020,1399919053.6646924,720.8270833263767,76967.51664619689,3805.9915778934705,0.15338667422553723,0.12062817284630817,0.017891823094062488,81250,3253
3/21/2020,1399918940.6863341,734.6772915698467,77054.25263673111,3818.383737323981,0.157356310339839,0.11792121843098177,0.01619273731912344,81305,3259
3/22/2020,1399918822.0262346,755.0298776360169,77141.0717676177,3829.872119802229,0.16148879387127568,0.11545409224293232,0.014804441362426519,81435,3274
3/23/2020,1399918696.3430688,781.9712108127303,77228.87187267246,3840.8138474948028,0.16580201633376745,0.113309441078244,0.013838063652630973,81498,3274
3/24/2020,1399918562.1839094,815.5122395527972,77318.6181584739,3851.6856922655593,0.17031741734216352,0.1115906969110028,0.01342970641430943,81591,3281
3/25/2020,1399918417.9842284,855.588491473995,77411.3432043633,3863.0840756756215,0.17505006887561259,0.11043104858582478,0.013747467674896522,81661,3285
3/26/2020,1399918262.067895,902.0600733590677,77508.14696244473,3875.7250689833795,0.18,0.11,0.015,81782,3291
